BattingTeam,BowlingTeam,Venue,Overs,current_score,wickets_left,current_run_rate,required_run_rate,target
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",10.5,104,8,9.6,6.327272727272727,162
Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",15.4,146,8,9.319148936170214,9.23076923076923,186
Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,17.4,144,5,8.150943396226415,16.285714285714285,182
Mumbai Indians,Chennai Super Kings,M Chinnaswamy Stadium,11.1,94,6,8.417910447761194,10.641509433962264,188
Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,7.5,52,8,6.638297872340425,9.780821917808218,171
Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",8.6,61,7,6.777777777777778,9.0,160
Rajasthan Royals,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad",5.6,67,9,11.166666666666666,6.5,158
Mumbai Indians,Chennai Super Kings,M Chinnaswamy Stadium,9.5,76,7,7.728813559322034,11.01639344262295,188
Lucknow Super Giants,Royal Challengers Bangalore,"Eden Gardens, Kolkata",6.3,64,8,9.846153846153848,10.666666666666666,208
Sunrisers Hyderabad,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,15.3,122,6,7.870967741935484,16.0,194
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",11.4,68,8,5.828571428571428,7.08,127
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",7.8,58,9,6.96,7.0285714285714285,140
Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",10.4,101,9,9.46875,9.107142857142858,186
Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,12.6,79,6,6.076923076923077,6.571428571428571,125
Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,10.2,63,6,6.096774193548387,10.96551724137931,169
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,8.6,78,7,8.666666666666666,8.818181818181818,175
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,6.4,29,6,4.35,8.55,143
Chennai Super Kings,Delhi Capitals,Arun Jaitley Stadium,11.6,108,7,9.0,5.0,148
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,17.4,110,3,6.226415094339623,36.42857142857143,195
Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",14.2,91,4,6.348837209302325,12.176470588235292,160
Mumbai Indians,Chennai Super Kings,Wankhede Stadium,5.7,78,10,12.64864864864865,5.710843373493976,157
Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,8.4,73,9,8.423076923076923,7.588235294117647,159
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,18.1,159,3,8.752293577981652,15.818181818181818,188
Lucknow Super Giants,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",5.1,46,10,8.903225806451612,7.01123595505618,150
Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",9.4,62,6,6.413793103448276,9.483870967741936,160
Kolkata Knight Riders,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,17.3,172,7,9.82857142857143,4.8,184
Delhi Capitals,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,10.3,85,7,8.095238095238095,8.631578947368421,167
Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,7.6,40,6,5.0,13.25,199
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",11.2,67,8,5.911764705882353,6.923076923076923,127
Gujarat Titans,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",12.5,84,8,6.545454545454546,6.558139534883721,131
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,15.2,94,5,6.130434782608695,11.142857142857142,146
Chennai Super Kings,Royal Challengers Bangalore,Wankhede Stadium,16.5,132,6,7.841584158415841,13.894736842105264,176
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,6.6,54,7,7.714285714285714,11.0,197
Rajasthan Royals,Mumbai Indians,Wankhede Stadium,12.2,86,5,6.972972972972973,10.565217391304348,167
Mumbai Indians,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",19.1,130,2,6.782608695652174,67.2,186
Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,8.6,39,6,4.333333333333333,12.818181818181818,180
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,7.6,75,7,9.375,1.25,90
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,13.6,104,4,7.428571428571429,18.33333333333333,214
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,9.6,76,9,7.6,5.8,134
Sunrisers Hyderabad,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",7.1,52,8,7.255813953488372,9.194805194805197,170
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,15.1,109,4,7.186813186813187,21.724137931034484,214
